import time: self [us] | cumulative | imported package
import time:       123 |        123 |       torch.distributions.dirichlet
import time:        97 |        219 |     torch.distributions.beta
import time:        98 |         98 |     torch.distributions.binomial
import time:       132 |        132 |     torch.distributions.categorical
import time:       117 |        117 |     torch.distributions.cauchy
import time:        82 |         82 |       torch.distributions.gamma
import time:        69 |        150 |     torch.distributions.chi2
import time:       162 |        162 |     torch.distributions.constraint_registry
import time:       134 |        134 |     torch.distributions.continuous_bernoulli
import time:        84 |         84 |     torch.distributions.exponential
import time:       213 |        213 |     torch.distributions.fishersnedecor
import time:       158 |        158 |     torch.distributions.generalized_pareto
import time:       110 |        110 |     torch.distributions.geometric
import time:       148 |        148 |         torch.distributions.independent
import time:       165 |        313 |       torch.distributions.transformed_distribution
import time:        96 |         96 |       torch.distributions.uniform
import time:        83 |        491 |     torch.distributions.gumbel
import time:        76 |         76 |     torch.distributions.half_cauchy
import time:        83 |         83 |       torch.distributions.normal
import time:        68 |        151 |     torch.distributions.half_normal
import time:       140 |        140 |     torch.distributions.inverse_gamma
import time:       157 |        157 |       torch.distributions.laplace
import time:       107 |        107 |         torch.distributions.multivariate_normal
import time:       112 |        218 |       torch.distributions.lowrank_multivariate_normal
import time:        94 |         94 |       torch.distributions.one_hot_categorical
import time:       117 |        117 |       torch.distributions.pareto
import time:       143 |        143 |       torch.distributions.poisson
import time:      3332 |       4057 |     torch.distributions.kl
import time:        89 |         89 |     torch.distributions.kumaraswamy
import time:       115 |        115 |     torch.distributions.lkj_cholesky
import time:       115 |        115 |     torch.distributions.log_normal
import time:        82 |         82 |     torch.distributions.logistic_normal
import time:        94 |         94 |     torch.distributions.mixture_same_family
import time:        91 |         91 |     torch.distributions.multinomial
import time:        88 |         88 |     torch.distributions.negative_binomial
import time:       259 |        259 |     torch.distributions.relaxed_bernoulli
import time:       141 |        141 |     torch.distributions.relaxed_categorical
import time:       142 |        142 |     torch.distributions.studentT
import time:       138 |        138 |           torch.jit._builtins
import time:      3849 |       3987 |         torch.jit._async
import time:        94 |         94 |         torch.jit._await
import time:        51 |         51 |         torch.jit._decomposition_utils
import time:       147 |        147 |             torch._classes
import time:       108 |        108 |             torch.jit._fuser
import time:        41 |         41 |               monkeytype
import time:       118 |        159 |             torch.jit._monkeytype_config
import time:        76 |         76 |               torch.jit._check
import time:       156 |        156 |               torch.jit._state
import time:       193 |        193 |                 torch.jit.annotations
import time:        77 |         77 |                 torch.jit._dataclass_impls
import time:       437 |        706 |               torch.jit.frontend
import time:       359 |       1296 |             torch.jit._recursive
import time:       107 |        107 |             torch.jit._serialization
import time:      3880 |       5695 |           torch.jit._script
import time:        80 |       5774 |         torch.jit._freeze
import time:       141 |        141 |         torch.jit._ir_utils
import time:       657 |        657 |         torch.jit._trace
import time:       165 |      10866 |       torch.jit
import time:       316 |      11182 |     torch.distributions.von_mises
import time:       123 |        123 |     torch.distributions.weibull
import time:       144 |        144 |     torch.distributions.wishart
import time:       311 |      24324 |   torch.distributions
import time:       189 |        189 |   torch.fft
import time:       104 |        104 |       urllib.response
import time:       155 |        259 |     urllib.error
import time:      3468 |       3468 |         http
import time:       260 |        260 |             email.errors
import time:       274 |        274 |                 email.quoprimime
import time:        58 |         58 |                 email.base64mime
import time:        85 |         85 |                     quopri
import time:        92 |        177 |                   email.encoders
import time:       114 |        290 |                 email.charset
import time:       425 |       1046 |               email.header
import time:      3952 |       3952 |                 email._parseaddr
import time:       296 |       4247 |               email.utils
import time:       209 |       5501 |             email._policybase
import time:       391 |       6151 |           email.feedparser
import time:       132 |       6282 |         email.parser
import time:       199 |        199 |           email._encoded_words
import time:        63 |         63 |           email.iterators
import time:       304 |        564 |         email.message
import time:      5972 |       5972 |           _ssl
import time:      1307 |       7278 |         ssl
import time:       594 |      18185 |       http.client
import time:      3882 |      22066 |     urllib.request
import time:       141 |        141 |       tqdm._monitor
import time:        85 |         85 |       tqdm._tqdm_pandas
import time:       152 |        152 |             unicodedata
import time:       272 |        424 |           tqdm.utils
import time:       519 |        942 |         tqdm.std
import time:        40 |         40 |           tqdm._dist_ver
import time:        79 |        118 |         tqdm.version
import time:       301 |       1361 |       tqdm.cli
import time:       142 |        142 |       tqdm.gui
import time:       177 |       1904 |     tqdm
import time:       304 |      24531 |   torch.hub
import time:       169 |        169 |   torch.linalg
import time:       311 |        311 |     torch.mps.profiler
import time:       106 |        106 |     torch.mps.event
import time:      3183 |       3599 |   torch.mps
import time:        70 |         70 |     torch.mtia._utils
import time:        68 |         68 |     torch.mtia.memory
import time:       102 |        102 |     torch.mtia.mtia_graph
import time:       286 |        524 |   torch.mtia
import time:       199 |        199 |       multiprocessing.util
import time:       136 |        136 |       multiprocessing.resource_sharer
import time:       191 |        525 |     torch.multiprocessing.reductions
import time:       166 |        166 |         _multiprocessing
import time:        42 |         42 |         _winapi
import time:       283 |        491 |       multiprocessing.connection
import time:       169 |        169 |       concurrent.futures.thread
import time:       173 |        831 |     torch.multiprocessing.spawn
import time:        94 |         94 |         runpy
import time:        95 |        189 |       multiprocessing.spawn
import time:        95 |         95 |       _posixshmem
import time:       172 |        455 |     multiprocessing.resource_tracker
import time:       186 |       1995 |   torch.multiprocessing
import time:        69 |         69 |       torch.nested._internal
import time:        49 |         49 |                 torch.fx._compatibility
import time:       366 |        414 |               torch.fx.immutable_collections
import time:        46 |         46 |                     torch.fx.experimental
import time:       173 |        173 |                             unittest.util
import time:       161 |        334 |                           unittest.result
import time:       436 |        436 |                           unittest.case
import time:       174 |        174 |                           unittest.suite
import time:      3366 |       3366 |                           unittest.loader
import time:      5255 |       5255 |                               gettext
import time:       739 |       5994 |                             argparse
import time:        67 |         67 |                               unittest.signals
import time:       160 |        227 |                             unittest.runner
import time:       155 |       6374 |                           unittest.main
import time:       145 |      10826 |                         unittest
import time:       177 |        177 |                               asyncio.constants
import time:        93 |         93 |                               asyncio.coroutines
import time:       191 |        191 |                                 asyncio.format_helpers
import time:       113 |        113 |                                   asyncio.base_futures
import time:       139 |        139 |                                   asyncio.exceptions
import time:        76 |         76 |                                   asyncio.base_tasks
import time:       293 |        620 |                                 _asyncio
import time:      3448 |       4257 |                               asyncio.events
import time:       175 |        175 |                               asyncio.futures
import time:        97 |         97 |                               asyncio.protocols
import time:       229 |        229 |                                 asyncio.transports
import time:       113 |        113 |                                 asyncio.log
import time:       460 |        802 |                               asyncio.sslproto
import time:        51 |         51 |                                   asyncio.mixins
import time:       300 |        351 |                                 asyncio.locks
import time:       176 |        176 |                                   asyncio.queues
import time:       250 |        250 |                                   asyncio.timeouts
import time:       370 |        794 |                                 asyncio.tasks
import time:       114 |       1258 |                               asyncio.staggered
import time:        83 |         83 |                               asyncio.trsock
import time:       567 |       7505 |                             asyncio.base_events
import time:       215 |        215 |                             asyncio.runners
import time:      3412 |       3412 |                             asyncio.streams
import time:       156 |        156 |                             asyncio.subprocess
import time:        83 |         83 |                             asyncio.taskgroups
import time:        41 |         41 |                             asyncio.threads
import time:       196 |        196 |                               asyncio.base_subprocess
import time:       341 |        341 |                               asyncio.selector_events
import time:       440 |        976 |                             asyncio.unix_events
import time:       207 |      12590 |                           asyncio
import time:       243 |        243 |                           pkgutil
import time:      1012 |      13844 |                         unittest.mock
import time:      4101 |      28770 |                       torch.utils._config_module
import time:       697 |      29467 |                     torch.fx.experimental._config
import time:        96 |         96 |                       torch.utils._dtype_abbrs
import time:       289 |        289 |                         torch.return_types
import time:       131 |        420 |                       torch.fx._pytree
import time:       472 |        472 |                         torch.fx.operator_schemas
import time:     14225 |      14696 |                       torch.fx.node
import time:      5693 |      20904 |                     torch.fx.graph
import time:       471 |      50886 |                   torch.fx.graph_module
import time:       185 |      51070 |                 torch.fx._lazy_graph_module
import time:       431 |        431 |                   torch.fx.traceback
import time:        88 |         88 |                         torch._logging.structured
import time:       207 |        207 |                           torch.utils._ordered_set
import time:       130 |        130 |                           torch.utils._traceback
import time:       170 |        170 |                           torch.utils.weak
import time:      7169 |       7674 |                         torch._guards
import time:      4286 |      12048 |                       torch._logging._internal
import time:       166 |      12213 |                     torch._logging._registrations
import time:      3134 |      15347 |                   torch._logging
import time:       622 |      16398 |                 torch.fx.proxy
import time:       769 |      68236 |               torch.fx._symbolic_trace
import time:        48 |         48 |                 torch.fx.config
import time:       437 |        484 |               torch.fx.interpreter
import time:       621 |        621 |               torch.fx.subgraph_rewriter
import time:       126 |      69880 |             torch.fx
import time:        19 |      69898 |           torch.fx.experimental
import time:       142 |      70039 |         torch.fx.experimental._constant_symnode
import time:       137 |      70176 |       torch.nested._internal.nested_int
import time:      3558 |      73802 |     torch.nested._internal.nested_tensor
import time:       184 |      73986 |   torch.nested
import time:       352 |        352 |       torch.optim.optimizer
import time:      3759 |       4111 |     torch.optim.lr_scheduler
import time:       283 |        283 |     torch.optim.swa_utils
import time:       233 |        233 |     torch.optim._adafactor
import time:       171 |        171 |     torch.optim._muon
import time:       220 |        220 |     torch.optim.adadelta
import time:       163 |        163 |     torch.optim.adagrad
import time:       252 |        252 |     torch.optim.adam
import time:       312 |        312 |     torch.optim.adamax
import time:       144 |        144 |     torch.optim.adamw
import time:       179 |        179 |     torch.optim.asgd
import time:      3192 |       3192 |     torch.optim.lbfgs
import time:       207 |        207 |     torch.optim.nadam
import time:       174 |        174 |     torch.optim.radam
import time:       199 |        199 |     torch.optim.rmsprop
import time:       179 |        179 |     torch.optim.rprop
import time:       161 |        161 |     torch.optim.sgd
import time:        67 |         67 |       torch.optim._functional
import time:       129 |        195 |     torch.optim.sparse_adam
import time:       245 |      10610 |   torch.optim
import time:        42 |         42 |     torch._environment
import time:       294 |        294 |       gzip
import time:      4436 |       4436 |         torch.profiler._utils
import time:      2205 |       6641 |       torch.profiler._memory_profiler
import time:       551 |       7484 |     torch.profiler.profiler
import time:      3149 |       3149 |     torch.profiler.itt
import time:       143 |      10816 |   torch.profiler
import time:       189 |        189 |   torch.special
import time:        84 |         84 |     torch.xpu._utils
import time:       133 |        133 |     torch.xpu.streams
import time:       192 |        192 |     torch.xpu.memory
import time:       116 |        116 |     torch.xpu.random
import time:       339 |        863 |   torch.xpu
import time:       151 |        151 |       torch.signal.windows.windows
import time:        75 |        226 |     torch.signal.windows
import time:        64 |        290 |   torch.signal
import time:        54 |         54 |   torch.ao
import time:       120 |        120 |       torch.ao.nn
import time:       216 |        216 |         torch.ao.nn.intrinsic.modules.fused
import time:        76 |        292 |       torch.ao.nn.intrinsic.modules
import time:       100 |        511 |     torch.ao.nn.intrinsic
import time:        60 |         60 |       torch.nn.intrinsic.modules.fused
import time:       104 |        163 |     torch.nn.intrinsic.modules
import time:       236 |        236 |                     torch.ao.nn.qat.modules.conv
import time:       105 |        105 |                     torch.ao.nn.qat.modules.embedding_ops
import time:        71 |         71 |                     torch.ao.nn.qat.modules.linear
import time:       100 |        512 |                   torch.ao.nn.qat.modules
import time:       115 |        626 |                 torch.ao.nn.qat
import time:      5673 |       6299 |               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       139 |        139 |               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:      3165 |       3165 |               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:        83 |       9685 |             torch.ao.nn.intrinsic.qat.modules
import time:        45 |       9730 |           torch.ao.nn.intrinsic.qat
import time:        50 |       9780 |         torch.nn.intrinsic.qat.modules.conv_fused
import time:        51 |         51 |         torch.nn.intrinsic.qat.modules.linear_fused
import time:        33 |         33 |         torch.nn.intrinsic.qat.modules.linear_relu
import time:        60 |       9923 |       torch.nn.intrinsic.qat.modules
import time:        44 |       9966 |     torch.nn.intrinsic.qat
import time:       169 |        169 |                                 torch.ao.nn.quantizable.modules.activation
import time:       180 |        180 |                                 torch.ao.nn.quantizable.modules.rnn
import time:       123 |        471 |                               torch.ao.nn.quantizable.modules
import time:        62 |        532 |                             torch.ao.nn.quantizable
import time:       219 |        219 |                             torch.ao.nn.quantized.modules.activation
import time:       143 |        143 |                             torch.ao.nn.quantized.modules.batchnorm
import time:       126 |        126 |                               torch.ao.nn.quantized.modules.utils
import time:       419 |        545 |                             torch.ao.nn.quantized.modules.conv
import time:        73 |         73 |                             torch.ao.nn.quantized.modules.dropout
import time:       314 |        314 |                             torch.ao.nn.quantized.modules.embedding_ops
import time:       142 |        142 |                             torch.ao.nn.quantized.modules.functional_modules
import time:      3201 |       3201 |                             torch.ao.nn.quantized.modules.linear
import time:       140 |        140 |                             torch.ao.nn.quantized.modules.normalization
import time:        61 |         61 |                             torch.ao.nn.quantized.modules.rnn
import time:       150 |       5515 |                           torch.ao.nn.quantized.modules
import time:        11 |       5526 |                         torch.ao.nn.quantized.modules.utils
import time:       144 |       5669 |                       torch.ao.nn.quantized.functional
import time:       110 |       5778 |                     torch.ao.nn.quantized
import time:       117 |       5895 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       122 |        122 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       150 |        150 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       137 |        137 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:        83 |       6385 |                 torch.ao.nn.intrinsic.quantized.modules
import time:        47 |       6431 |               torch.ao.nn.intrinsic.quantized
import time:       178 |        178 |                       torch.ao.nn.quantized.dynamic.modules.conv
import time:        84 |         84 |                       torch.ao.nn.quantized.dynamic.modules.linear
import time:       371 |        371 |                       torch.ao.nn.quantized.dynamic.modules.rnn
import time:        81 |        713 |                     torch.ao.nn.quantized.dynamic.modules
import time:        53 |        765 |                   torch.ao.nn.quantized.dynamic
import time:       125 |        889 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       115 |       1004 |               torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:        62 |       7496 |             torch.ao.nn.intrinsic.quantized.dynamic
import time:        44 |       7539 |           torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:        51 |       7590 |         torch.nn.intrinsic.quantized.dynamic.modules
import time:        64 |       7654 |       torch.nn.intrinsic.quantized.dynamic
import time:        80 |         80 |         torch.nn.intrinsic.quantized.modules.bn_relu
import time:        39 |         39 |         torch.nn.intrinsic.quantized.modules.conv_relu
import time:        30 |         30 |         torch.nn.intrinsic.quantized.modules.linear_relu
import time:       120 |        268 |       torch.nn.intrinsic.quantized.modules
import time:        66 |       7986 |     torch.nn.intrinsic.quantized
import time:        81 |      18705 |   torch.nn.intrinsic
import time:       127 |        127 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:        57 |        183 |                 torch.ao.nn.qat.dynamic.modules
import time:        45 |        228 |               torch.ao.nn.qat.dynamic
import time:        15 |        243 |             torch.ao.nn.qat.dynamic.modules
import time:        11 |        253 |           torch.ao.nn.qat.dynamic.modules.linear
import time:        47 |        299 |         torch.nn.qat.dynamic.modules.linear
import time:        49 |        348 |       torch.nn.qat.dynamic.modules
import time:        54 |        401 |     torch.nn.qat.dynamic
import time:        64 |         64 |       torch.nn.qat.modules.conv
import time:        32 |         32 |       torch.nn.qat.modules.embedding_ops
import time:        29 |         29 |       torch.nn.qat.modules.linear
import time:       103 |        227 |     torch.nn.qat.modules
import time:        58 |        685 |   torch.nn.qat
import time:        97 |         97 |     torch.nn.quantizable.modules
import time:      3093 |       3189 |   torch.nn.quantizable
import time:        56 |         56 |     torch.nn.quantized.dynamic
import time:        37 |         37 |     torch.nn.quantized.functional
import time:        52 |         52 |     torch.nn.quantized.modules
import time:        77 |        221 |   torch.nn.quantized
import time:        46 |         46 |   torch._size_docs
import time:        40 |         40 |   torch._storage_docs
import time:       538 |        538 |   torch._tensor_docs
import time:       185 |        185 |                 torch.ao.quantization.quant_type
import time:       276 |        460 |               torch.ao.quantization.utils
import time:      5196 |       5655 |             torch.ao.quantization.observer
import time:       209 |       5864 |           torch.ao.quantization.fake_quantize
import time:        93 |         93 |             torch.ao.quantization.fuser_method_mappings
import time:       109 |        202 |           torch.ao.quantization.fuse_modules
import time:        47 |         47 |             torch.ao.quantization.pt2e
import time:        78 |         78 |                 torch.ao.ns
import time:        84 |        162 |               torch.ao.ns.fx
import time:       296 |        296 |               torch.ao.ns.fx.ns_types
import time:       269 |        726 |             torch.ao.ns.fx.utils
import time:        46 |         46 |                             torch._dispatch
import time:      3287 |       3332 |                           torch._dispatch.python
import time:      1201 |       1201 |                                 torch._library.fake_profile
import time:       101 |        101 |                                   torch.utils._mode_utils
import time:      9847 |       9948 |                                 torch._subclasses.meta_utils
import time:       101 |        101 |                                 torch.utils._stats
import time:       925 |        925 |                                   torch.fx.experimental.sym_node
import time:      4791 |       5715 |                                 torch._subclasses._fake_tensor_utils
import time:       101 |        101 |                                   torch._custom_op
import time:      5902 |       6002 |                                 torch._subclasses.fake_impls
import time:      8153 |      31116 |                               torch._subclasses.fake_tensor
import time:       263 |        263 |                               torch._subclasses.fake_utils
import time:        78 |      31456 |                             torch._subclasses
import time:        17 |      31472 |                           torch._subclasses.meta_utils
import time:       311 |      35114 |                         torch.fx.passes.shape_prop
import time:        89 |         89 |                         pydot
import time:       257 |      35459 |                       torch.fx.passes.graph_drawer
import time:       243 |        243 |                       torch.fx.passes.graph_manipulation
import time:      3643 |       3643 |                               torch.fx.passes.utils.matcher_utils
import time:       138 |       3780 |                             torch.fx.passes.utils.common
import time:        85 |       3865 |                           torch.fx.passes.utils
import time:       582 |        582 |                           torch.fx.passes.tools_common
import time:       536 |       4981 |                         torch.fx.passes.split_utils
import time:       570 |       5550 |                       torch.fx.passes.net_min_base
import time:       321 |        321 |                       torch.fx.passes.operator_support
import time:       103 |        103 |                       torch.fx.passes.param_fetch
import time:       121 |        121 |                       torch.fx.passes.regional_inductor
import time:      3512 |       3512 |                       torch.fx.passes.reinplace
import time:        73 |         73 |                         torch.fx._utils
import time:       147 |        147 |                           torch.utils._thunk
import time:        64 |         64 |                           torch.fx.experimental._backward_state
import time:      1693 |       1903 |                         torch.fx.experimental.proxy_tensor
import time:      4046 |       6021 |                       torch.fx.passes.runtime_assert
import time:       252 |        252 |                       torch.fx.passes.split_module
import time:       807 |        807 |                       torch.fx.passes.splitter_base
import time:       221 |      52606 |                     torch.fx.passes
import time:       153 |        153 |                       torch.fx.passes.infra.pass_base
import time:       187 |        340 |                     torch.fx.passes.infra.pass_manager
import time:        98 |      53043 |                   torch.fx.passes.infra
import time:        29 |      53072 |                 torch.fx.passes.infra.pass_base
import time:       605 |        605 |                 torch.export.custom_ops
import time:        54 |         54 |                       torch.export._tree_utils
import time:      5902 |       5902 |                       torch.export.graph_signature
import time:       148 |        148 |                             torch._custom_op.autograd
import time:       592 |        739 |                           torch._custom_op.impl
import time:       110 |        849 |                         torch._custom_ops
import time:      3883 |       3883 |                           torch._subclasses.functional_tensor
import time:       553 |       4436 |                         torch._export.utils
import time:       754 |        754 |                                     torch._higher_order_ops.schema
import time:      4002 |       4755 |                                   torch._higher_order_ops.utils
import time:      1407 |       6161 |                                 torch._higher_order_ops.auto_functionalize
import time:       167 |       6327 |                               torch._higher_order_ops.base_hop
import time:       507 |       6834 |                             torch._higher_order_ops._invoke_quant
import time:       202 |        202 |                             torch._higher_order_ops.aoti_call_delegate
import time:       302 |        302 |                             torch._higher_order_ops.associative_scan
import time:       344 |        344 |                             torch._higher_order_ops.cond
import time:       201 |        201 |                               torch._higher_order_ops.print
import time:        69 |         69 |                                   torch._functorch._aot_autograd
import time:     15690 |      15690 |                                   torch._functorch._aot_autograd.descriptors
import time:       416 |      16174 |                                 torch._functorch._aot_autograd.utils
import time:       256 |      16429 |                               torch._higher_order_ops.torchbind
import time:      3534 |      20163 |                             torch._higher_order_ops.effects
import time:       265 |        265 |                             torch._higher_order_ops.executorch_call_delegate
import time:       827 |        827 |                             torch._higher_order_ops.flat_apply
import time:       100 |        100 |                                   torch.testing._internal
import time:      3309 |       3409 |                                 torch.testing._internal.logging_tensor
import time:      3502 |       6910 |                               torch.utils.checkpoint
import time:       461 |       7371 |                             torch._higher_order_ops.flex_attention
import time:       170 |        170 |                             torch._higher_order_ops.foreach_map
import time:       171 |        171 |                             torch._higher_order_ops.hints_wrap
import time:       702 |        702 |                             torch._higher_order_ops.invoke_subgraph
import time:       367 |        367 |                             torch._higher_order_ops.local_map
import time:       286 |        286 |                             torch._higher_order_ops.map
import time:      6125 |       6125 |                             torch._higher_order_ops.out_dtype
import time:       238 |        238 |                             torch._higher_order_ops.run_const_graph
import time:       313 |        313 |                               torch._higher_order_ops.partitioner
import time:      3601 |       3913 |                             torch._higher_order_ops.scan
import time:       209 |        209 |                             torch._higher_order_ops.strict_mode
import time:       382 |        382 |                             torch._higher_order_ops.while_loop
import time:     31128 |      31128 |                               torch.utils._debug_mode
import time:       429 |      31557 |                             torch._higher_order_ops.wrap
import time:       316 |      80733 |                           torch._higher_order_ops
import time:        28 |      80761 |                         torch._higher_order_ops.flat_apply
import time:       336 |      86379 |                       torch._export.wrappers
import time:      3404 |       3404 |                       torch._export.config
import time:       481 |      96218 |                     torch._export
import time:        21 |      96239 |                   torch._export.utils
import time:       418 |      96657 |                 torch.export.decomp_utils
import time:       266 |        266 |                     torch._export.verifier
import time:      4221 |       4486 |                   torch.export.exported_program
import time:      2192 |       6677 |                 torch.export.dynamic_shapes
import time:       119 |        119 |                   torch.export._remove_effect_tokens_pass
import time:      4328 |       4446 |                 torch.export.unflatten
import time:       237 |     161691 |               torch.export
import time:       769 |        769 |               torch.fx.passes.utils.source_matcher_utils
import time:       167 |     162626 |             torch.ao.quantization.pt2e.graph_utils
import time:       975 |     164372 |           torch.ao.quantization.pt2e._numeric_debugger
import time:       145 |        145 |           torch.ao.quantization.pt2e.export_utils
import time:       478 |        478 |           torch.ao.quantization.qconfig
import time:       192 |        192 |           torch.ao.quantization.qconfig_mapping
import time:       108 |        108 |                   torch.ao.nn.quantized.reference.modules.utils
import time:       253 |        361 |                 torch.ao.nn.quantized.reference.modules.conv
import time:        76 |         76 |                 torch.ao.nn.quantized.reference.modules.linear
import time:       252 |        252 |                 torch.ao.nn.quantized.reference.modules.rnn
import time:       126 |        126 |                 torch.ao.nn.quantized.reference.modules.sparse
import time:      3165 |       3978 |               torch.ao.nn.quantized.reference.modules
import time:        67 |       4045 |             torch.ao.nn.quantized.reference
import time:       121 |        121 |                     torch.ao.nn.sparse.quantized.linear
import time:        69 |         69 |                     torch.ao.nn.sparse.quantized.utils
import time:       126 |        315 |                   torch.ao.nn.sparse.quantized.dynamic.linear
import time:        69 |        384 |                 torch.ao.nn.sparse.quantized.dynamic
import time:       132 |        516 |               torch.ao.nn.sparse.quantized
import time:        63 |        578 |             torch.ao.nn.sparse
import time:        84 |         84 |             torch.ao.quantization.stubs
import time:       429 |       5134 |           torch.ao.quantization.quantization_mappings
import time:       280 |        280 |           torch.ao.quantization.quantize
import time:       326 |        326 |           torch.ao.quantization.quantize_jit
import time:       265 |     177253 |         torch.ao.quantization
import time:        15 |     177268 |       torch.ao.quantization.fake_quantize
import time:        83 |     177350 |     torch.quantization.fake_quantize
import time:        62 |         62 |     torch.quantization.fuse_modules
import time:        80 |         80 |     torch.quantization.fuser_method_mappings
import time:        63 |         63 |     torch.quantization.observer
import time:        42 |         42 |     torch.quantization.qconfig
import time:        33 |         33 |     torch.quantization.quant_type
import time:        37 |         37 |     torch.quantization.quantization_mappings
import time:        42 |         42 |     torch.quantization.quantize
import time:        35 |         35 |     torch.quantization.quantize_jit
import time:      3087 |       3087 |     torch.quantization.stubs
import time:       152 |     180977 |   torch.quantization
import time:       118 |        118 |   torch.quasirandom
import time:        59 |         59 |   torch.multiprocessing._atfork
import time:       288 |        288 |   torch._lobpcg
import time:        87 |         87 |       torch.masked._docs
import time:       214 |        214 |             torch.masked.maskedtensor.core
import time:      4733 |       4947 |           torch.masked.maskedtensor.binary
import time:       399 |        399 |           torch.masked.maskedtensor.passthrough
import time:        52 |         52 |             torch.masked.maskedtensor.creation
import time:       638 |        690 |           torch.masked.maskedtensor.reductions
import time:      5051 |       5051 |           torch.masked.maskedtensor.unary
import time:       114 |      11199 |         torch.masked.maskedtensor
import time:        19 |      11218 |       torch.masked.maskedtensor.core
import time:       489 |      11792 |     torch.masked._ops
import time:       126 |      11918 |   torch.masked
import time:       443 |        443 |   torch.utils.dlpack
import time:        73 |         73 |     torch._functorch.batch_norm_replacement
import time:       277 |        277 |       torch.fx.experimental.const_fold
import time:       513 |        790 |     torch._functorch.eager_transforms
import time:       167 |        167 |     torch._functorch.functional_call
import time:       121 |       1149 |   torch.func
import time:       156 |        156 |             torch.utils._content_store
import time:       145 |        300 |           torch._prims.debug_prims
import time:      3436 |       3436 |           torch._prims.rng_prims
import time:       296 |        296 |           torch._prims_common.wrappers
import time:    163921 |     167952 |         torch._prims
import time:     31866 |     199817 |       torch._decomp.decompositions
import time:       713 |        713 |         torch._refs._conversions
import time:      4323 |       4323 |         torch._refs.fft
import time:      1251 |       1251 |         torch._refs.linalg
import time:        74 |         74 |           torch._refs.nn
import time:      7120 |       7193 |         torch._refs.nn.functional
import time:      5104 |       5104 |         torch._refs.special
import time:     53717 |      72298 |       torch._refs
import time:       323 |     272437 |     torch._decomp
import time:    102952 |     375388 |   torch._meta_registrations
import time:       657 |        657 |     torch.compiler.config
import time:      3506 |       4162 |   torch.compiler
import time:    105210 |    1362438 | torch
import time:       323 |        323 |           numpy._typing._add_docstring
import time:       133 |        455 |         numpy.typing
import time:        70 |         70 |             gymnasium.utils.colorize
import time:        55 |         55 |             gymnasium.utils.ezpickle
import time:        50 |         50 |             gymnasium.utils.record_constructor
import time:        63 |        237 |           gymnasium.utils
import time:       159 |        159 |             gymnasium.error
import time:       422 |        422 |                   numpy.random._common
import time:      3188 |       3188 |                     hmac
import time:       126 |       3314 |                   secrets
import time:       443 |       4178 |                 numpy.random.bit_generator
import time:       340 |       4517 |               numpy.random._bounded_integers
import time:       221 |        221 |                   numpy.random._pcg64
import time:       203 |        203 |                   numpy.random._mt19937
import time:      1029 |       1452 |                 numpy.random._generator
import time:       140 |        140 |                 numpy.random._philox
import time:       164 |        164 |                 numpy.random._sfc64
import time:      5457 |       5457 |                 numpy.random.mtrand
import time:       124 |       7335 |               numpy.random._pickle
import time:       172 |      12023 |             numpy.random
import time:        83 |      12265 |           gymnasium.utils.seeding
import time:       208 |      12709 |         gymnasium.spaces.space
import time:       205 |      13368 |       gymnasium.spaces.box
import time:       247 |        247 |       gymnasium.spaces.dict
import time:       155 |        155 |       gymnasium.spaces.discrete
import time:       127 |        127 |         gymnasium.spaces.multi_discrete
import time:       339 |        465 |       gymnasium.spaces.graph
import time:       145 |        145 |       gymnasium.spaces.multi_binary
import time:        99 |         99 |       gymnasium.spaces.oneof
import time:       194 |        194 |       gymnasium.spaces.sequence
import time:       118 |        118 |       gymnasium.spaces.text
import time:       365 |        365 |       gymnasium.spaces.tuple
import time:      3427 |       3427 |       gymnasium.spaces.utils
import time:       171 |      18750 |     gymnasium.spaces
import time:       431 |      19180 |   gymnasium.core
import time:       194 |        194 |         gymnasium.logger
import time:       107 |        107 |             gymnasium.vector.utils.misc
import time:       191 |        191 |                 multiprocessing.heap
import time:       323 |        514 |               multiprocessing.sharedctypes
import time:       217 |        731 |             gymnasium.vector.utils.shared_memory
import time:       260 |        260 |             gymnasium.vector.utils.space_utils
import time:       111 |       1207 |           gymnasium.vector.utils
import time:       336 |        336 |             gymnasium.vector.vector_env
import time:       276 |        612 |           gymnasium.vector.async_vector_env
import time:      3207 |       3207 |           gymnasium.vector.sync_vector_env
import time:       128 |       5152 |         gymnasium.vector
import time:      1619 |       6964 |       gymnasium.envs.registration
import time:       540 |       7503 |     gymnasium.envs
import time:        31 |       7534 |   gymnasium.envs.registration
import time:       114 |        114 |       gymnasium.wrappers.vector.common
